 globalUB-MILP,, globalUB,,gap
2562,,2562,,0
2675,,2675,,0
2882,,2882,,0
2797,,2797,,0
2810,,2810,,0
3127,,3127,,0
2489,,2489,,0
3170,,3170,,0
2649,,2649,,0
3141,,3141,,0
2957,,2957,,0
2877,,2877,,0
2772,,2772,,0
2935,,2935,,0
3013,,3013,,0
3107,,3107,,0
3234,,3234,,0
2976,,2976,,0
2886,,2886,,0
3025,,3025,,0
2774,,2774,,0
2654,,2654,,0
4073,,4073,,0
4038,,4038,,0
4050,,4050,,0
4119,,4119,,0
4080,,4080,,0
4030,,4030,,0
4427,,4427,,0
4220,,4220,,0
 infeasible,,4289,,#VALUE!
4359,,4359,,0
4283,,4283,,0
4268,,4268,,0
4206,,4206,,0
4124,,4124,,0
4486,,4486,,0
4490,,4490,,0
4127,,4127,,0
4188,,4188,,0
4095,,4095,,0
4138,,4138,,0
4064,,4064,,0
4286,,4286,,0
4235,,4235,,0
4401,,4401,,0
3841,,3841,,0
4098,,4098,,0
4292,,4292,,0
4339,,4339,,0
4014,,4014,,0
4259,,4259,,0
4406,,4406,,0
3972,,3972,,0
4270,,4270,,0
4592,,4592,,0
3919,,3919,,0
3863,,3863,,0
4063,,4063,,0
3992,,3992,,0
4203,,4203,,0
4265,,4265,,0
4460,,4460,,0
3981,,3981,,0
4690,,4690,,0
4226,,4226,,0
4073,,4073,,0
4325,,4325,,0
4556,,4556,,0
4318,,4318,,0
3990,,3990,,0
4095,,4095,,0
5644,,5644,,0
 infeasible,,5685,,#VALUE!
5739,,5739,,0
5439,,5439,,0
5528,,5528,,0
5855,,5855,,0
5658,,5658,,0
5726,,5726,,0
5586,,5586,,0
5658,,5658,,0
5641,,5641,,0
 infeasible,,5153,,#VALUE!
5330,,5330,,0
6138,,6138,,0
5601,,5601,,0
5742,,5742,,0
5376,,5376,,0
5777,,5777,,0
5579,,5579,,0
5820,,5820,,0
5894,,5894,,0
6013,,6013,,0
5981,,5981,,0
5684,,5684,,0
5557,,5557,,0
5461,,5461,,0
5463,,5463,,0
5594,,5594,,0
5457,,5457,,0
6006,,6006,,0
5852,,5852,,0
5519,,5519,,0
5018,,5018,,0
6194,,6194,,0
5755,,5755,,0
5574,,5574,,0
6209,,6209,,0
5222,,5222,,0
5681,,5681,,0
5452,,5452,,0
5795,,5795,,0
5466,,5466,,0
5638,,5638,,0
5738,,5738,,0
5584,,5584,,0
5594,,5594,,0
5641,,5641,,0
5846,,5846,,0
5474,,5474,,0
5282,,5282,,0
 infeasible,,7156,,#VALUE!
7095,,7095,,0
6950,,6950,,0
 infeasible,,7387,,#VALUE!
7072,,7072,,0
 infeasible,,6761,,#VALUE!
 infeasible,,6853,,#VALUE!
7270,,7270,,0
 infeasible,,6915,,#VALUE!
6993,,6993,,0
6978,,6978,,0
6611,,6611,,0
 infeasible,,7137,,#VALUE!
6980,,6980,,0
7044,,7044,,0
 infeasible,,6749,,#VALUE!
7148,,7148,,0
 infeasible,,6723,,#VALUE!
6984,,6984,,0
6711,,6711,,0
6742,,6742,,0
7225,,7225,,0
6892,,6892,,0
6977,,6977,,0
7375,,7375,,0
 infeasible,,7341,,#VALUE!
6718,,6718,,0
6987,,6987,,0
7194,,7194,,0
6982,,6982,,0
 infeasible,,7065,,#VALUE!
6773,,6773,,0
7298,,7298,,0
 infeasible,,7383,,#VALUE!
 infeasible,,7012,,#VALUE!
7013,,7013,,0
6865,,6865,,0
6550,,6550,,0
6981,,6981,,0
6727,,6727,,0
7422,,7422,,0
6500,,6500,,0
6573,,6573,,0
 infeasible,,6845,,#VALUE!
 infeasible,,6615,,#VALUE!
6715,,6715,,0
 infeasible,,7194,,#VALUE!
 infeasible,,6714,,#VALUE!
 infeasible,,6883,,#VALUE!
 infeasible,,7240,,#VALUE!
7964,,7964,,0
 infeasible,,8329,,#VALUE!
8208,,8208,,0
 infeasible,,8540,,#VALUE!
 infeasible,,8725,,#VALUE!
 infeasible,,8735,,#VALUE!
 infeasible,,8249,,#VALUE!
 infeasible,,8739,,#VALUE!
8100,,8100,,0
 infeasible,,8706,,#VALUE!
8375,,8375,,0
 infeasible,,8623,,#VALUE!
 infeasible,,8377,,#VALUE!
8395,,8395,,0
 infeasible,,7987,,#VALUE!
8879,,8879,,0
 infeasible,,8310,,#VALUE!
 infeasible,,8459,,#VALUE!
 infeasible,,8606,,#VALUE!
 infeasible,,8521,,#VALUE!
 infeasible,,8390,,#VALUE!
 infeasible,,8435,,#VALUE!
 infeasible,,8307,,#VALUE!
 infeasible,,7942,,#VALUE!
 infeasible,,8600,,#VALUE!
7836,,7836,,0
 infeasible,,8247,,#VALUE!
 infeasible,,8219,,#VALUE!
 infeasible,,8273,,#VALUE!
7782,,7782,,0
8648,,8648,,0
8208,,8208,,0
 infeasible,,9054,,#VALUE!
 infeasible,,8919,,#VALUE!
 infeasible,,8370,,#VALUE!
 infeasible,,8232,,#VALUE!
 infeasible,,8388,,#VALUE!
8118,,8118,,0
 infeasible,,7883,,#VALUE!
 infeasible,,8776,,#VALUE!
 infeasible,,8378,,#VALUE!
 infeasible,,8160,,#VALUE!
8194,,8194,,0
8668,,8668,,0
 infeasible,,8754,,#VALUE!
 infeasible,,8611,,#VALUE!
8554,,8554,,0
 infeasible,,8050,,#VALUE!
8466,,8466,,0
 infeasible,,7837,,#VALUE!
,,,,0
,,,,0
,,,,0
,,,,0
