instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints
L_00000181,40,1 , 3600.0,0.781 , true, true,13.0,1290, 1290, 0.000 , 0.003, 0.778,1681, 201
L_00000182,40,1 , 3600.0,0.632 , true, true,13.0,1238, 1238, 0.000 , 0.003, 0.629,1681, 201
L_00000183,40,1 , 3600.0,0.722 , true, true,73.0,1109, 1109, 0.000 , 0.003, 0.719,1681, 201
L_00000184,40,1 , 3600.0,0.617 , true, true,11.0,1062, 1062, 0.000 , 0.003, 0.614,1681, 201
L_00000185,40,1 , 3600.0,0.543 , true, true,11.0,1047, 1047, 0.000 , 0.003, 0.540,1681, 201
L_00000186,40,1 , 3600.0,0.608 , true, true,11.0,1025, 1025, 0.000 , 0.003, 0.605,1681, 201
L_00000187,40,1 , 3600.0,0.597 , true, true,10.0,967, 967, 0.000 , 0.003, 0.594,1681, 201
L_00000188,40,1 , 3600.0,0.969 , true, true,37.0,1138, 1138, 0.000 , 0.002, 0.967,1681, 201
L_00000189,40,1 , 3600.0,2.357 , true, true,533.0,1171, 1171, 0.000 , 0.003, 2.354,1681, 201
L_00000190,40,1 , 3600.0,0.595 , true, true,1.0,1075, 1075, 0.000 , 0.004, 0.591,1681, 201
L_00000191,40,1 , 3600.0,0.863 , true, true,10.0,1000, 1000, 0.000 , 0.004, 0.859,1681, 201
L_00000192,40,1 , 3600.0,0.710 , true, true,12.0,1197, 1197, 0.000 , 0.004, 0.706,1681, 201
L_00000193,40,1 , 3600.0,0.591 , true, true,13.0,1224, 1224, 0.000 , 0.002, 0.589,1681, 201
L_00000194,40,1 , 3600.0,0.704 , true, true,36.0,1170, 1170, 0.000 , 0.003, 0.701,1681, 201
L_00000195,40,1 , 3600.0,0.690 , true, true,10.0,939, 939, 0.000 , 0.003, 0.687,1681, 201
L_00000196,40,1 , 3600.0,1.183 , true, true,58.0,1126, 1126, 0.000 , 0.003, 1.180,1681, 201
L_00000197,40,1 , 3600.0,0.640 , true, true,10.0,1015, 1015, 0.000 , 0.005, 0.635,1681, 201
L_00000198,40,1 , 3600.0,0.669 , true, true,13.0,1236, 1236, 0.000 , 0.003, 0.666,1681, 201
L_00000199,40,1 , 3600.0,0.676 , true, true,13.0,1200, 1200, 0.000 , 0.003, 0.673,1681, 201
L_00000200,50,1 , 3600.0,2.489 , true, true,160.0,1593, 1593, 0.000 , 0.005, 2.484,2601, 251
L_00000201,50,1 , 3600.0,1.276 , true, true,30.0,1545, 1545, 0.000 , 0.006, 1.270,2601, 251
L_00000202,50,1 , 3600.0,0.892 , true, true,24.0,1276, 1276, 0.000 , 0.004, 0.888,2601, 251
