algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
Mixed Integer Linear Programming,L_00000102,30,true, 60.0, 0.383, 936, 936, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000103,30,true, 60.0, 0.493, 893, 893, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000104,30,true, 60.0, 0.346, 726, 726, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000105,30,true, 60.0, 0.368, 834, 834, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000106,30,true, 60.0, 0.314, 843, 843, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000107,30,true, 60.0, 0.724, 933, 933, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000108,30,true, 60.0, 0.363, 805, 805, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000109,30,true, 60.0, 0.319, 897, 897, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000110,30,true, 60.0, 0.335, 783, 783, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000111,30,true, 60.0, 0.352, 807, 807, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000112,30,true, 60.0, 0.431, 758, 758, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000113,30,true, 60.0, 0.306, 782, 782, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000114,30,true, 60.0, 0.356, 987, 987, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000115,30,true, 60.0, 0.334, 813, 813, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000116,30,true, 60.0, 0.297, 784, 784, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000117,30,true, 60.0, 0.379, 900, 900, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000118,30,true, 60.0, 0.366, 850, 850, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000119,30,true, 60.0, 0.325, 932, 932, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000120,30,true, 60.0, 0.249, 1079, 1079, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000121,30,true, 60.0, 0.323, 817, 817, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000122,30,true, 60.0, 0.314, 743, 743, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000123,30,true, 60.0, 0.406, 810, 810, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000124,30,true, 60.0, 0.356, 809, 809, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000125,30,true, 60.0, 0.389, 847, 847, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000126,30,true, 60.0, 0.448, 811, 811, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000127,30,true, 60.0, 0.365, 915, 915, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000128,30,true, 60.0, 0.398, 823, 823, 2, 961, 151, 0
