algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
L_00000079,Mixed Integer Linear Programming, true, 60.0, 0.148, 595, 595, 2, 441, 101, 0
L_00000080,Mixed Integer Linear Programming, true, 60.0, 0.200, 527, 527, 2, 441, 101, 0
L_00000081,Mixed Integer Linear Programming, true, 60.0, 0.127, 543, 543, 2, 441, 101, 0
L_00000082,Mixed Integer Linear Programming, true, 60.0, 0.119, 619, 619, 2, 441, 101, 0
L_00000083,Mixed Integer Linear Programming, true, 60.0, 0.181, 518, 518, 2, 441, 101, 0
L_00000084,Mixed Integer Linear Programming, true, 60.0, 0.156, 537, 537, 2, 441, 101, 0
L_00000085,Mixed Integer Linear Programming, true, 60.0, 0.189, 480, 480, 2, 441, 101, 0
L_00000086,Mixed Integer Linear Programming, true, 60.0, 0.143, 517, 517, 2, 441, 101, 0
L_00000087,Mixed Integer Linear Programming, true, 60.0, 4.446, 449, 449, 2, 441, 101, 0
L_00000088,Mixed Integer Linear Programming, true, 60.0, 0.178, 594, 594, 2, 441, 101, 0
L_00000089,Mixed Integer Linear Programming, true, 60.0, 0.169, 615, 615, 2, 441, 101, 0
L_00000090,Mixed Integer Linear Programming, true, 60.0, 0.137, 512, 512, 2, 441, 101, 0
L_00000091,Mixed Integer Linear Programming, true, 60.0, 0.202, 516, 516, 2, 441, 101, 0
L_00000092,Mixed Integer Linear Programming, true, 60.0, 0.158, 538, 538, 2, 441, 101, 0
L_00000093,Mixed Integer Linear Programming, true, 60.0, 0.149, 516, 516, 2, 441, 101, 0
L_00000094,Mixed Integer Linear Programming, true, 60.0, 0.134, 615, 615, 2, 441, 101, 0
L_00000095,Mixed Integer Linear Programming, true, 60.0, 0.215, 672, 672, 2, 441, 101, 0
L_00000096,Mixed Integer Linear Programming, true, 60.0, 0.192, 580, 580, 2, 441, 101, 0
L_00000097,Mixed Integer Linear Programming, true, 60.0, 0.404, 723, 723, 2, 441, 101, 0
L_00000098,Mixed Integer Linear Programming, true, 60.0, 0.044, 633, 633, 2, 441, 101, 0
L_00000099,Mixed Integer Linear Programming, true, 60.0, 0.106, 451, 451, 2, 441, 101, 0
L_00000100,Mixed Integer Linear Programming, true, 60.0, 0.151, 858, 858, 2, 961, 151, 0
L_00000101,Mixed Integer Linear Programming, true, 60.0, 0.072, 855, 855, 2, 961, 151, 0
L_00000102,Mixed Integer Linear Programming, true, 60.0, 0.357, 936, 936, 2, 961, 151, 0
L_00000103,Mixed Integer Linear Programming, true, 60.0, 0.497, 893, 893, 2, 961, 151, 0
L_00000104,Mixed Integer Linear Programming, true, 60.0, 0.328, 726, 726, 2, 961, 151, 0
L_00000105,Mixed Integer Linear Programming, true, 60.0, 0.389, 834, 834, 2, 961, 151, 0
L_00000106,Mixed Integer Linear Programming, true, 60.0, 0.403, 843, 843, 2, 961, 151, 0
L_00000107,Mixed Integer Linear Programming, true, 60.0, 0.715, 933, 933, 2, 961, 151, 0
L_00000108,Mixed Integer Linear Programming, true, 60.0, 0.383, 805, 805, 2, 961, 151, 0
L_00000109,Mixed Integer Linear Programming, true, 60.0, 0.347, 897, 897, 2, 961, 151, 0
L_00000110,Mixed Integer Linear Programming, true, 60.0, 0.337, 783, 783, 2, 961, 151, 0
L_00000111,Mixed Integer Linear Programming, true, 60.0, 0.356, 807, 807, 2, 961, 151, 0
L_00000112,Mixed Integer Linear Programming, true, 60.0, 0.441, 758, 758, 2, 961, 151, 0
L_00000113,Mixed Integer Linear Programming, true, 60.0, 0.315, 782, 782, 2, 961, 151, 0
