instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints, gurobiModelStatus
L_00000089, 20, 1, 3600.0, 0.191, true, true, 6, 615, 615, 0.000 , 0.001, 0.190, 441, 101, 2
L_00000090, 20, 1, 3600.0, 0.186, true, true, 6, 512, 512, 0.000 , 0.001, 0.185, 441, 101, 2
L_00000091, 20, 1, 3600.0, 0.144, true, true, 6, 516, 516, 0.000 , 0.001, 0.143, 441, 101, 2
L_00000092, 20, 1, 3600.0, 0.142, true, true, 6, 538, 538, 0.000 , 0.002, 0.140, 441, 101, 2
L_00000093, 20, 1, 3600.0, 0.159, true, true, 6, 516, 516, 0.000 , 0.001, 0.158, 441, 101, 2
L_00000094, 20, 1, 3600.0, 0.141, true, true, 6, 615, 615, 0.000 , 0.001, 0.140, 441, 101, 2
L_00000095, 20, 1, 3600.0, 0.433, true, true, 195, 672, 672, 0.000 , 0.001, 0.432, 441, 101, 2
L_00000096, 20, 1, 3600.0, 0.150, true, true, 6, 580, 580, 0.000 , 0.001, 0.149, 441, 101, 2
L_00000097, 20, 1, 3600.0, 0.162, true, true, 8, 723, 723, 0.000 , 0.001, 0.161, 441, 101, 2
L_00000098, 20, 1, 3600.0, 0.024, true, true, 1, 633, 633, 0.000 , 0.001, 0.023, 441, 101, 2
L_00000099, 20, 1, 3600.0, 0.172, true, true, 8, 451, 451, 0.000 , 0.000, 0.172, 441, 101, 2
L_00000100, 30, 1, 3600.0, 0.051, true, true, 1, 858, 858, 0.000 , 0.001, 0.050, 961, 151, 2
L_00000101, 30, 1, 3600.0, 0.058, true, true, 1, 855, 855, 0.000 , 0.002, 0.056, 961, 151, 2
L_00000102, 30, 1, 3600.0, 0.356, true, true, 10, 936, 936, 0.000 , 0.002, 0.354, 961, 151, 2
L_00000103, 30, 1, 3600.0, 0.350, true, true, 10, 893, 893, 0.000 , 0.001, 0.349, 961, 151, 2
L_00000104, 30, 1, 3600.0, 0.346, true, true, 13, 726, 726, 0.000 , 0.002, 0.344, 961, 151, 2
L_00000105, 30, 1, 3600.0, 0.301, true, true, 9, 834, 834, 0.000 , 0.002, 0.299, 961, 151, 2
L_00000106, 30, 1, 3600.0, 0.288, true, true, 9, 843, 843, 0.000 , 0.001, 0.287, 961, 151, 2
L_00000107, 30, 1, 3600.0, 0.347, true, true, 10, 933, 933, 0.000 , 0.001, 0.346, 961, 151, 2
L_00000108, 30, 1, 3600.0, 0.382, true, true, 8, 805, 805, 0.000 , 0.001, 0.381, 961, 151, 2
L_00000109, 30, 1, 3600.0, 0.666, true, true, 130, 897, 897, 0.000 , 0.002, 0.664, 961, 151, 2
L_00000110, 30, 1, 3600.0, 0.357, true, true, 11, 783, 783, 0.000 , 0.001, 0.356, 961, 151, 2
L_00000111, 30, 1, 3600.0, 0.334, true, true, 8, 807, 807, 0.000 , 0.002, 0.332, 961, 151, 2
L_00000112, 30, 1, 3600.0, 0.428, true, true, 8, 758, 758, 0.000 , 0.001, 0.427, 961, 151, 2
L_00000113, 30, 1, 3600.0, 0.326, true, true, 9, 782, 782, 0.000 , 0.002, 0.324, 961, 151, 2
L_00000114, 30, 1, 3600.0, 0.466, true, true, 33, 987, 987, 0.000 , 0.001, 0.465, 961, 151, 2
L_00000115, 30, 1, 3600.0, 0.336, true, true, 8, 813, 813, 0.000 , 0.002, 0.334, 961, 151, 2
L_00000116, 30, 1, 3600.0, 0.354, true, true, 8, 784, 784, 0.000 , 0.001, 0.353, 961, 151, 2
L_00000117, 30, 1, 3600.0, 0.385, true, true, 32, 900, 900, 0.000 , 0.001, 0.384, 961, 151, 2
L_00000118, 30, 1, 3600.0, 0.551, true, true, 29, 850, 850, 0.000 , 0.001, 0.550, 961, 151, 2
L_00000119, 30, 1, 3600.0, 0.484, true, true, 32, 932, 932, 0.000 , 0.002, 0.482, 961, 151, 2
L_00000120, 30, 1, 3600.0, 0.317, true, true, 11, 1079, 1079, 0.000 , 0.001, 0.316, 961, 151, 2
