instName, numOfJobs, numOfThreads, timeLimit, feasible, optimal, globalUB, globalLB, gap,rootUB, rootLB, timeCost, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, timeOnHeuristics, cntRMPCall, cntPPCall, cntHeuristicsCall, numOfNodes, numOfNodesSolved, numOfNodesRemained, numOfNodesPrunedByInfeasible, numOfNodesPrunedByBound, numOfNodesPrunedByOptimal, numOfLabels, numOfLabelsPrunedByLb, numOfLabelsDominated
L_00000079,20,1,3600,1,1,595.000, 595.000, 0.000, 595.000, 591.000,0.026, 0.010, 0.011, 0.001, 0.005, 0.003,5, 5, 1,3,3,0,1,1,0,2300,1870,26,
L_00000080,20,1,3600,1,1,527.000, 527.000, 0.000, 528.000, 516.000,0.026, 0.010, 0.012, 0.003, 0.006, 0.003,7, 7, 2,5,3,2,1,0,0,3254,2748,5,
L_00000081,20,1,3600,1,1,543.000, 543.000, 0.000, 544.000, 534.000,0.059, 0.011, 0.043, 0.016, 0.023, 0.003,33, 33, 10,21,12,9,1,0,1,24460,20650,61,
L_00000082,20,1,3600,1,1,619.000, 619.000, 0.000, 619.000, 617.000,0.027, 0.011, 0.013, 0.004, 0.006, 0.003,9, 9, 1,3,3,0,1,1,0,4675,3960,56,
L_00000083,20,1,3600,1,1,518.000, 518.000, 0.000, 518.000, 506.000,0.027, 0.010, 0.015, 0.005, 0.009, 0.003,9, 9, 1,3,3,0,1,1,0,5691,4739,20,
L_00000084,20,1,3600,1,1,537.000, 537.000, 0.000, 537.000, 527.000,0.024, 0.009, 0.012, 0.002, 0.005, 0.003,6, 6, 1,3,3,0,1,1,0,3412,2776,25,
L_00000085,20,1,3600,1,1,480.000, 480.000, 0.000, 481.000, 464.000,0.157, 0.013, 0.135, 0.046, 0.040, 0.003,93, 93, 38,77,72,5,3,30,1,41281,33962,221,
L_00000086,20,1,3600,1,1,517.000, 517.000, 0.000, 517.000, 505.000,0.026, 0.012, 0.014, 0.005, 0.005, 0.003,5, 5, 1,3,3,0,1,1,0,2276,1949,13,
L_00000087,20,1,3600,1,1,449.000, 449.000, 0.000, 452.000, 429.000,0.452, 0.010, 0.367, 0.117, 0.128, 0.004,153, 153, 63,127,108,19,4,40,1,107489,90184,1567,
L_00000088,20,1,3600,1,1,594.000, 594.000, 0.000, 594.000, 590.000,0.029, 0.012, 0.015, 0.004, 0.007, 0.003,9, 9, 1,3,3,0,1,1,0,4788,4013,36,
L_00000089,20,1,3600,1,1,615.000, 615.000, 0.000, 615.000, 613.000,0.027, 0.012, 0.015, 0.003, 0.006, 0.002,9, 9, 1,3,3,0,1,1,0,6317,5206,23,
L_00000090,20,1,3600,1,1,512.000, 512.000, 0.000, 512.000, 500.000,0.024, 0.010, 0.011, 0.003, 0.006, 0.002,6, 6, 1,3,3,0,1,1,0,2772,2362,29,
L_00000091,20,1,3600,1,1,516.000, 516.000, 0.000, 516.000, 504.000,0.028, 0.010, 0.015, 0.007, 0.007, 0.002,8, 8, 1,3,3,0,1,1,0,6660,5657,20,
L_00000092,20,1,3600,1,1,538.000, 538.000, 0.000, 538.000, 528.000,0.033, 0.011, 0.014, 0.007, 0.004, 0.002,5, 5, 1,3,3,0,1,1,0,2105,1766,14,
L_00000093,20,1,3600,1,1,516.000, 516.000, 0.000, 517.000, 504.000,0.290, 0.013, 0.260, 0.096, 0.038, 0.007,104, 104, 44,89,76,13,3,28,1,23135,18982,81,
L_00000094,20,1,3600,1,1,615.000, 615.000, 0.000, 618.000, 613.000,0.058, 0.025, 0.028, 0.006, 0.014, 0.006,6, 6, 1,3,3,0,1,0,1,2489,2062,16,
L_00000095,20,1,3600,1,1,672.000, 672.000, 0.000, 674.000, 654.000,0.055, 0.016, 0.036, 0.005, 0.021, 0.004,15, 15, 4,9,5,4,1,0,0,16048,13380,51,
L_00000096,20,1,3600,1,1,580.000, 580.000, 0.000, 580.000, 574.000,0.027, 0.012, 0.014, 0.002, 0.008, 0.002,6, 6, 1,3,3,0,1,1,0,2790,2273,22,
L_00000097,20,1,3600,1,1,723.000, 723.000, 0.000, 723.000, 710.000,0.055, 0.016, 0.031, 0.008, 0.018, 0.004,11, 11, 1,3,3,0,1,1,0,8610,7285,52,
L_00000098,20,1,3600,1,1,633.000, 633.000, 0.000, 633.000, 633.000,0.040, 0.020, 0.020, 0.004, 0.010, 0.004,3, 3, 1,3,1,2,0,0,0,2502,2060,21,
L_00000099,20,1,3600,1,1,451.000, 451.000, 0.000, 451.000, 433.000,0.046, 0.015, 0.029, 0.007, 0.015, 0.004,10, 10, 1,3,3,0,1,1,0,9549,8100,12,
L_00000100,30,1,3600,1,1,858.000, 858.000, 0.000, 858.000, 858.000,0.034, 0.020, 0.020, 0.005, 0.010, 0.003,4, 4, 1,3,1,2,0,0,0,4724,4012,139,
L_00000101,30,1,3600,1,1,855.000, 855.000, 0.000, 855.000, 855.000,0.040, 0.025, 0.025, 0.007, 0.014, 0.003,6, 6, 1,3,1,2,0,0,0,8867,7656,230,
L_00000102,30,1,3600,1,1,936.000, 936.000, 0.000, 937.000, 922.000,0.049, 0.023, 0.031, 0.007, 0.018, 0.003,9, 9, 2,5,3,2,1,0,0,11262,9777,82,
L_00000103,30,1,3600,1,1,893.000, 893.000, 0.000, 899.000, 875.000,0.647, 0.024, 0.573, 0.201, 0.216, 0.010,110, 110, 61,123,74,49,1,11,1,129309,113944,231,
L_00000104,30,1,3600,1,1,726.000, 726.000, 0.000, 727.000, 713.000,0.073, 0.022, 0.039, 0.006, 0.027, 0.004,7, 7, 2,5,3,2,1,0,0,18334,16293,133,
L_00000105,30,1,3600,1,1,834.000, 834.000, 0.000, 834.000, 832.000,0.034, 0.016, 0.020, 0.004, 0.010, 0.003,7, 7, 1,3,3,0,1,1,0,6277,5525,69,
L_00000106,30,1,3600,1,1,843.000, 843.000, 0.000, 843.000, 842.000,0.031, 0.017, 0.020, 0.005, 0.011, 0.003,9, 9, 1,3,3,0,1,1,0,9875,8524,139,
