instName, numOfJobs, numOfThreads, timeLimit, feasible, optimal, globalUB, globalLB, gap,rootUB, rootLB, timeCost, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, timeOnHeuristics, cntRMPCall, cntPPCall, cntHeuristicsCall, numOfNodes, numOfNodesSolved, numOfNodesRemained, numOfNodesPrunedByInfeasible, numOfNodesPrunedByBound, numOfNodesPrunedByOptimal, numOfLabels, numOfLabelsPrunedByLb, numOfLabelsDominated
L_00000085,20,1,3600,1,1,480.000, 480.000, 0.000, 0.000, 464.000,0.585, 0.012, 0.561, 0.172, 0.077, 0.000,251, 251, 0,237,202,35,8,74,2,95263,77664,810,
L_00000086,20,1,3600,1,1,517.000, 517.000, 0.000, 0.000, 505.000,0.021, 0.010, 0.011, 0.002, 0.005, 0.000,5, 5, 0,3,3,0,1,0,1,2276,1949,13,
L_00000087,20,1,3600,1,1,449.000, 449.000, 0.000, 0.000, 429.000,0.271, 0.009, 0.252, 0.107, 0.056, 0.000,121, 121, 0,153,81,72,3,0,2,65513,55066,564,
L_00000088,20,1,3600,1,1,594.000, 594.000, 0.000, 0.000, 590.000,0.035, 0.011, 0.026, 0.006, 0.013, 0.000,23, 23, 0,19,11,8,1,0,1,11101,9243,51,
L_00000089,20,1,3600,1,1,615.000, 615.000, 0.000, 0.000, 613.000,0.023, 0.011, 0.012, 0.001, 0.008, 0.000,9, 9, 0,3,3,0,1,0,1,6317,5206,23,
L_00000090,20,1,3600,1,1,512.000, 512.000, 0.000, 0.000, 500.000,0.022, 0.009, 0.011, 0.003, 0.004, 0.000,7, 7, 0,5,4,1,1,0,1,2792,2382,29,
L_00000091,20,1,3600,1,1,516.000, 516.000, 0.000, 0.000, 504.000,0.025, 0.010, 0.017, 0.005, 0.005, 0.000,10, 10, 0,7,5,2,1,0,1,6699,5696,20,
L_00000092,20,1,3600,1,1,538.000, 538.000, 0.000, 0.000, 528.000,0.021, 0.008, 0.011, 0.003, 0.005, 0.000,7, 7, 0,5,4,1,1,0,1,3401,2867,16,
L_00000093,20,1,3600,1,1,516.000, 516.000, 0.000, 0.000, 504.000,0.102, 0.009, 0.086, 0.025, 0.023, 0.000,71, 71, 0,71,41,30,1,3,2,25230,20683,59,
L_00000094,20,1,3600,1,1,615.000, 615.000, 0.000, 0.000, 613.000,0.021, 0.008, 0.009, 0.002, 0.004, 0.000,7, 7, 0,5,4,1,1,0,1,2509,2082,16,
L_00000095,20,1,3600,1,1,672.000, 672.000, 0.000, 0.000, 654.000,0.090, 0.010, 0.075, 0.037, 0.020, 0.000,59, 59, 0,69,44,25,1,7,2,25432,21104,106,
L_00000096,20,1,3600,1,1,580.000, 580.000, 0.000, 0.000, 574.000,0.019, 0.009, 0.010, 0.003, 0.005, 0.000,6, 6, 0,3,3,0,1,0,1,2790,2273,22,
L_00000097,20,1,3600,1,1,723.000, 723.000, 0.000, 0.000, 710.000,0.534, 0.010, 0.509, 0.189, 0.088, 0.000,364, 364, 0,349,323,26,12,135,2,95127,77007,1410,
L_00000098,20,1,3600,1,1,633.000, 633.000, 0.000, 0.000, 633.000,0.022, 0.009, 0.012, 0.003, 0.006, 0.000,7, 7, 0,3,3,0,1,0,1,3797,3189,21,
L_00000099,20,1,3600,1,1,451.000, 451.000, 0.000, 0.000, 433.000,0.146, 0.008, 0.129, 0.038, 0.074, 0.000,51, 51, 0,33,18,15,1,0,1,79936,67575,487,
L_00000100,30,1,3600,1,1,858.000, 858.000, 0.000, 0.000, 858.000,0.034, 0.015, 0.023, 0.005, 0.013, 0.000,9, 9, 0,3,3,0,1,0,1,8358,7266,144,
L_00000101,30,1,3600,1,1,855.000, 855.000, 0.000, 0.000, 855.000,0.040, 0.018, 0.026, 0.006, 0.014, 0.000,14, 14, 0,11,7,4,1,0,1,11902,10320,235,
L_00000102,30,1,3600,1,1,936.000, 936.000, 0.000, 0.000, 922.000,0.034, 0.017, 0.024, 0.006, 0.013, 0.000,10, 10, 0,5,4,1,1,0,1,11292,9807,82,
L_00000103,30,1,3600,1,1,893.000, 893.000, 0.000, 0.000, 875.000,0.839, 0.015, 0.756, 0.232, 0.184, 0.000,226, 226, 0,371,187,184,1,0,1,166449,147507,354,
L_00000104,30,1,3600,1,1,726.000, 726.000, 0.000, 0.000, 713.000,0.175, 0.020, 0.141, 0.037, 0.069, 0.000,36, 36, 0,39,21,18,1,0,1,60006,53067,131,
L_00000105,30,1,3600,1,1,834.000, 834.000, 0.000, 0.000, 832.000,0.276, 0.015, 0.261, 0.079, 0.054, 0.000,80, 80, 0,101,52,49,1,0,1,54421,47778,88,
L_00000106,30,1,3600,1,1,843.000, 843.000, 0.000, 0.000, 842.000,0.250, 0.018, 0.225, 0.075, 0.070, 0.000,81, 76, 0,97,55,42,1,0,1,73305,63924,145,
L_00000107,30,1,3600,1,1,933.000, 933.000, 0.000, 0.000, 919.000,0.069, 0.025, 0.056, 0.015, 0.034, 0.000,15, 15, 0,13,8,5,1,0,1,28914,25626,122,
L_00000108,30,1,3600,1,1,805.000, 805.000, 0.000, 0.000, 800.000,0.041, 0.019, 0.031, 0.009, 0.016, 0.000,13, 13, 0,11,7,4,1,0,1,14339,12572,205,
L_00000109,30,1,3600,1,1,897.000, 897.000, 0.000, 0.000, 879.000,0.838, 0.015, 0.782, 0.231, 0.218, 0.000,226, 226, 0,271,138,133,1,0,1,241314,211091,1025,
L_00000110,30,1,3600,1,1,783.000, 783.000, 0.000, 0.000, 776.000,0.052, 0.031, 0.043, 0.006, 0.030, 0.000,15, 15, 0,9,6,3,1,0,1,22304,19836,94,
L_00000111,30,1,3600,1,1,807.000, 807.000, 0.000, 0.000, 802.000,0.239, 0.049, 0.227, 0.037, 0.136, 0.000,62, 62, 0,61,34,27,1,1,2,112576,98623,354,
L_00000112,30,1,3600,1,1,758.000, 758.000, 0.000, 0.000, 748.000,1.031, 0.016, 0.966, 0.189, 0.514, 0.000,162, 162, 0,175,90,85,1,0,1,463198,398196,3144,
L_00000113,30,1,3600,1,1,782.000, 782.000, 0.000, 0.000, 775.000,0.057, 0.011, 0.043, 0.010, 0.020, 0.000,21, 21, 0,19,11,8,1,0,1,21283,18492,267,
L_00000114,30,1,3600,1,1,987.000, 987.000, 0.000, 0.000, 978.000,0.663, 0.029, 0.626, 0.155, 0.148, 0.000,176, 176, 0,279,141,138,1,0,1,128936,113979,404,
L_00000115,30,1,3600,1,1,813.000, 813.000, 0.000, 0.000, 809.000,0.179, 0.020, 0.164, 0.045, 0.064, 0.000,63, 63, 0,71,37,34,1,0,1,59465,51769,246,
L_00000116,30,1,3600,1,1,784.000, 784.000, 0.000, 0.000, 777.000,0.034, 0.023, 0.025, 0.004, 0.015, 0.000,6, 6, 0,3,3,0,1,0,1,9453,8361,115,
L_00000117,30,1,3600,1,1,900.000, 900.000, 0.000, 0.000, 882.000,1.688, 0.015, 1.571, 0.546, 0.197, 0.000,383, 383, 0,647,325,322,1,0,1,184786,161763,519,
L_00000118,30,1,3600,1,1,850.000, 850.000, 0.000, 0.000, 849.000,0.031, 0.017, 0.023, 0.007, 0.013, 0.000,7, 7, 0,3,3,0,1,0,1,9628,8416,156,
L_00000119,30,1,3600,1,1,932.000, 932.000, 0.000, 0.000, 918.000,0.883, 0.019, 0.831, 0.264, 0.181, 0.000,222, 222, 0,311,157,154,1,0,1,174130,155036,487,
L_00000120,30,1,3600,1,1,1079.000, 1079.000, 0.000, 0.000, 1079.000,0.041, 0.021, 0.033, 0.006, 0.020, 0.000,13, 13, 0,9,6,3,1,0,1,13808,11947,161,
L_00000121,30,1,3600,1,1,817.000, 817.000, 0.000, 0.000, 813.000,0.792, 0.035, 0.768, 0.172, 0.183, 0.000,178, 178, 0,247,126,121,1,0,1,177810,154487,280,
L_00000122,30,1,3600,1,1,743.000, 743.000, 0.000, 0.000, 732.000,0.045, 0.022, 0.036, 0.006, 0.024, 0.000,13, 13, 0,7,5,2,1,0,1,16871,15271,46,
L_00000123,30,1,3600,1,1,810.000, 810.000, 0.000, 0.000, 805.000,0.112, 0.016, 0.103, 0.021, 0.062, 0.000,33, 33, 0,29,16,13,1,0,1,54907,48617,113,
L_00000124,30,1,3600,1,1,809.000, 809.000, 0.000, 0.000, 804.000,0.184, 0.016, 0.171, 0.053, 0.052, 0.000,70, 70, 0,83,43,40,1,0,1,51879,45144,171,
L_00000125,30,1,3600,1,1,847.000, 847.000, 0.000, 0.000, 846.000,0.029, 0.016, 0.021, 0.002, 0.011, 0.000,10, 10, 0,5,4,1,1,0,1,8663,7415,108,
L_00000126,30,1,3600,1,1,811.000, 811.000, 0.000, 0.000, 807.000,0.982, 0.027, 0.961, 0.125, 0.656, 0.000,130, 130, 0,145,74,71,1,0,1,363718,298527,5519,
L_00000127,30,1,3600,1,1,915.000, 915.000, 0.000, 0.000, 899.000,0.869, 0.019, 0.809, 0.247, 0.278, 0.000,217, 217, 0,269,136,133,1,0,1,287735,247166,1006,
L_00000128,30,1,3600,1,1,823.000, 823.000, 0.000, 0.000, 820.000,0.458, 0.024, 0.436, 0.111, 0.115, 0.000,127, 127, 0,159,81,78,1,0,1,114364,98329,532,
L_00000129,30,1,3600,1,1,828.000, 828.000, 0.000, 0.000, 825.000,0.040, 0.018, 0.032, 0.006, 0.016, 0.000,15, 15, 0,15,9,6,1,0,1,15011,13003,190,
L_00000130,30,1,3600,1,1,833.000, 833.000, 0.000, 0.000, 831.000,0.035, 0.020, 0.025, 0.008, 0.012, 0.000,9, 9, 0,5,4,1,1,0,1,12871,11378,120,
L_00000131,30,1,3600,1,1,1044.000, 1044.000, 0.000, 0.000, 1041.000,0.220, 0.017, 0.204, 0.050, 0.065, 0.000,73, 73, 0,95,49,46,1,0,1,59585,51693,448,
L_00000132,30,1,3600,1,1,850.000, 850.000, 0.000, 0.000, 849.000,0.360, 0.040, 0.343, 0.092, 0.088, 0.000,108, 108, 0,145,74,71,1,0,1,88437,76184,293,
L_00000133,30,1,3600,1,1,820.000, 820.000, 0.000, 0.000, 816.000,0.432, 0.026, 0.409, 0.093, 0.149, 0.000,117, 117, 0,147,75,72,1,0,1,134322,114219,922,
L_00000134,30,1,3600,1,1,886.000, 886.000, 0.000, 0.000, 867.000,4.975, 0.020, 4.872, 0.629, 3.540, 0.000,381, 381, 0,399,203,196,1,0,1,2164311,1769682,38698,
