instName, numOfJobs, numOfThreads, timeLimit, feasible, optimal, globalUB, globalLB, gap,rootUB, rootLB, timeCost, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, timeOnHeuristics, cntRMPCall, cntPPCall, cntHeuristicsCall, numOfNodes, numOfNodesSolved, numOfNodesRemained, numOfNodesPrunedByInfeasible, numOfNodesPrunedByBound, numOfNodesPrunedByOptimal, numOfLabels, numOfLabelsPrunedByLb, numOfLabelsDominated
L_00000022,10,1,3600,1,1,257.000, 257.000, 0.000, 258.000, 241.000,0.023, 0.005, 0.006, 0.000, 0.003, 0.002,4, 4, 1,3,3,0,1,0,1,172,119,0,
L_00000023,10,1,3600,1,1,336.000, 336.000, 0.000, 336.000, 328.000,0.027, 0.005, 0.005, 0.002, 0.002, 0.002,4, 4, 1,3,3,0,2,0,0,434,301,0,
L_00000024,10,1,3600,1,1,263.000, 263.000, 0.000, 263.000, 248.000,0.022, 0.004, 0.006, 0.000, 0.003, 0.002,5, 5, 1,3,3,0,2,0,0,657,500,4,
L_00000025,10,1,3600,1,1,273.000, 273.000, 0.000, 275.000, 259.000,0.021, 0.005, 0.006, 0.002, 0.003, 0.001,4, 4, 1,3,3,0,1,0,1,215,155,0,
L_00000026,10,1,3600,1,1,323.000, 323.000, 0.000, 323.000, 314.000,0.021, 0.005, 0.006, 0.003, 0.002, 0.002,4, 4, 1,3,3,0,2,0,0,802,596,0,
L_00000027,10,1,3600,1,1,193.000, 193.000, 0.000, 193.000, 193.000,0.006, 0.003, 0.003, 0.002, 0.001, 0.000,1, 1, 0,1,1,0,0,0,1,10,10,0,
L_00000028,10,1,3600,1,1,252.000, 252.000, 0.000, 252.000, 235.000,0.027, 0.004, 0.008, 0.000, 0.006, 0.003,5, 5, 1,3,3,0,2,0,0,1108,783,0,
L_00000029,10,1,3600,1,1,265.000, 265.000, 0.000, 266.000, 250.000,0.024, 0.005, 0.006, 0.004, 0.002, 0.003,4, 4, 1,3,3,0,1,0,1,221,161,0,
L_00000030,10,1,3600,1,1,311.000, 311.000, 0.000, 311.000, 301.000,0.027, 0.006, 0.008, 0.001, 0.003, 0.002,4, 4, 1,3,3,0,2,0,0,325,243,0,
L_00000031,10,1,3600,1,1,309.000, 309.000, 0.000, 310.000, 298.000,0.023, 0.005, 0.006, 0.005, 0.002, 0.002,4, 4, 1,3,3,0,1,0,1,273,198,0,
L_00000032,10,1,3600,1,1,373.000, 373.000, 0.000, 373.000, 369.000,0.025, 0.007, 0.008, 0.005, 0.003, 0.002,4, 4, 1,3,3,0,2,0,0,229,170,3,
L_00000033,10,1,3600,1,1,240.000, 240.000, 0.000, 240.000, 222.000,0.024, 0.006, 0.007, 0.001, 0.002, 0.002,5, 5, 1,3,3,0,2,0,0,401,293,4,
L_00000034,10,1,3600,1,1,182.000, 182.000, 0.000, 182.000, 182.000,0.008, 0.005, 0.005, 0.000, 0.001, 0.000,1, 1, 0,1,1,0,0,0,1,10,10,0,
L_00000035,10,1,3600,1,1,320.000, 320.000, 0.000, 325.000, 310.000,0.024, 0.005, 0.006, 0.001, 0.002, 0.003,4, 4, 1,3,3,0,1,0,1,375,291,1,
L_00000036,10,1,3600,1,1,265.000, 265.000, 0.000, 265.000, 250.000,0.026, 0.005, 0.006, 0.002, 0.002, 0.002,5, 5, 1,3,3,0,2,0,0,302,229,0,
L_00000037,10,1,3600,1,1,269.000, 269.000, 0.000, 269.000, 254.000,0.023, 0.005, 0.006, 0.001, 0.002, 0.003,6, 6, 1,3,3,0,2,0,0,435,339,2,
L_00000038,10,1,3600,1,1,229.000, 229.000, 0.000, 229.000, 208.000,0.024, 0.006, 0.007, 0.003, 0.002, 0.002,5, 5, 1,3,3,0,2,0,0,574,433,0,
L_00000039,10,1,3600,1,1,301.000, 301.000, 0.000, 308.000, 290.000,0.023, 0.005, 0.005, 0.000, 0.002, 0.002,4, 4, 1,3,3,0,1,0,1,176,128,1,
L_00000040,10,1,3600,1,1,253.000, 253.000, 0.000, 253.000, 237.000,0.026, 0.005, 0.007, 0.001, 0.003, 0.003,5, 5, 1,3,3,0,2,0,0,372,287,0,
L_00000041,10,1,3600,1,1,287.000, 287.000, 0.000, 292.000, 274.000,0.027, 0.008, 0.010, 0.000, 0.003, 0.002,4, 4, 1,3,3,0,1,0,1,286,220,0,
L_00000042,10,1,3600,1,1,311.000, 311.000, 0.000, 311.000, 301.000,0.023, 0.006, 0.007, 0.002, 0.002, 0.003,4, 4, 1,3,3,0,2,0,0,177,131,0,
L_00000043,10,1,3600,1,1,236.000, 236.000, 0.000, 245.000, 218.000,0.022, 0.005, 0.006, 0.000, 0.002, 0.003,4, 4, 1,3,3,0,1,0,1,141,104,0,
L_00000044,10,1,3600,1,1,302.000, 302.000, 0.000, 304.000, 291.000,0.023, 0.006, 0.007, 0.005, 0.002, 0.002,4, 4, 1,3,3,0,1,0,1,458,337,0,
L_00000045,10,1,3600,1,1,262.000, 262.000, 0.000, 266.000, 247.000,0.026, 0.006, 0.007, 0.000, 0.004, 0.003,4, 4, 1,3,3,0,1,0,1,204,141,0,
L_00000046,10,1,3600,1,1,171.000, 171.000, 0.000, 171.000, 171.000,0.010, 0.006, 0.006, 0.001, 0.002, 0.000,1, 1, 0,1,1,0,0,0,1,10,10,0,
L_00000047,10,1,3600,1,1,189.000, 189.000, 0.000, 189.000, 189.000,0.008, 0.005, 0.005, 0.000, 0.002, 0.000,1, 1, 0,1,1,0,0,0,1,10,10,0,
L_00000048,10,1,3600,1,1,310.000, 310.000, 0.000, 315.000, 299.000,0.031, 0.010, 0.010, 0.001, 0.006, 0.003,5, 5, 1,3,3,0,1,0,1,641,476,0,
L_00000049,10,1,3600,1,1,274.000, 274.000, 0.000, 277.000, 260.000,0.023, 0.006, 0.007, 0.003, 0.003, 0.002,4, 4, 1,3,3,0,1,0,1,465,367,0,
L_00000050,20,1,3600,1,1,468.000, 468.000, 0.000, 468.000, 451.000,0.031, 0.007, 0.014, 0.004, 0.008, 0.003,8, 8, 1,3,3,0,2,0,0,4593,3732,14,
L_00000051,20,1,3600,1,1,315.000, 315.000, 0.000, 315.000, 305.000,0.031, 0.009, 0.013, 0.002, 0.008, 0.003,4, 4, 1,3,3,0,2,0,0,3363,2794,0,
L_00000052,20,1,3600,1,1,445.000, 445.000, 0.000, 445.000, 425.000,0.470, 0.009, 0.150, 0.040, 0.040, 0.022,86, 52, 70,73,73,0,3,0,0,25603,21626,59,
L_00000053,20,1,3600,1,1,572.000, 572.000, 0.000, 576.000, 566.000,0.108, 0.009, 0.039, 0.014, 0.015, 0.009,31, 31, 10,21,12,9,1,0,1,17280,14384,24,
L_00000054,20,1,3600,1,1,519.000, 519.000, 0.000, 519.000, 507.000,0.045, 0.012, 0.021, 0.008, 0.008, 0.005,9, 9, 1,3,3,0,2,0,0,7669,6585,25,
L_00000055,20,1,3600,1,1,540.000, 540.000, 0.000, 540.000, 530.000,0.030, 0.011, 0.014, 0.003, 0.007, 0.003,7, 7, 1,3,3,0,2,0,0,5991,4906,38,
L_00000056,20,1,3600,1,1,484.000, 484.000, 0.000, 484.000, 469.000,0.030, 0.010, 0.013, 0.003, 0.006, 0.003,7, 7, 1,3,3,0,2,0,0,5132,4234,44,
L_00000057,20,1,3600,1,1,673.000, 673.000, 0.000, 673.000, 654.000,0.343, 0.011, 0.088, 0.021, 0.027, 0.007,87, 52, 72,75,75,0,3,0,0,22912,19670,122,
L_00000058,20,1,3600,1,1,545.000, 545.000, 0.000, 547.000, 536.000,0.031, 0.011, 0.017, 0.003, 0.009, 0.003,10, 10, 2,5,3,2,1,0,0,6051,5072,21,
L_00000059,20,1,3600,1,1,524.000, 524.000, 0.000, 524.000, 513.000,0.031, 0.012, 0.015, 0.001, 0.007, 0.004,7, 7, 1,3,3,0,2,0,0,5281,4503,36,
L_00000060,20,1,3600,1,1,552.000, 552.000, 0.000, 552.000, 544.000,0.027, 0.011, 0.013, 0.004, 0.005, 0.004,7, 7, 1,3,3,0,2,0,0,3300,2723,6,
L_00000061,20,1,3600,1,1,549.000, 549.000, 0.000, 549.000, 540.000,0.029, 0.012, 0.014, 0.003, 0.007, 0.003,6, 6, 1,3,3,0,2,0,0,5503,4713,11,
L_00000062,20,1,3600,1,1,567.000, 567.000, 0.000, 569.000, 560.000,0.028, 0.010, 0.013, 0.005, 0.005, 0.005,11, 11, 4,9,6,3,1,0,1,2800,2379,34,
L_00000063,20,1,3600,1,1,525.000, 525.000, 0.000, 549.000, 514.000,0.029, 0.011, 0.016, 0.004, 0.008, 0.003,10, 10, 2,5,4,1,1,0,1,7352,6126,13,
L_00000064,20,1,3600,1,1,624.000, 624.000, 0.000, 624.000, 623.000,0.024, 0.010, 0.012, 0.003, 0.006, 0.003,7, 7, 1,3,3,0,2,0,0,2939,2477,28,
L_00000065,20,1,3600,1,1,551.000, 551.000, 0.000, 551.000, 543.000,0.024, 0.010, 0.011, 0.002, 0.005, 0.003,5, 5, 1,3,3,0,2,0,0,2271,1826,70,
L_00000066,20,1,3600,1,1,555.000, 555.000, 0.000, 557.000, 547.000,0.034, 0.009, 0.012, 0.003, 0.005, 0.009,7, 7, 2,5,3,2,1,0,0,2622,2190,20,
L_00000067,20,1,3600,1,1,588.000, 588.000, 0.000, 589.000, 583.000,0.027, 0.010, 0.012, 0.001, 0.007, 0.002,7, 7, 2,5,3,2,1,0,0,3985,3261,17,
L_00000068,20,1,3600,1,1,402.000, 402.000, 0.000, 402.000, 401.000,0.023, 0.009, 0.010, 0.004, 0.003, 0.004,4, 4, 1,3,3,0,2,0,0,1118,939,10,
L_00000069,20,1,3600,1,1,359.000, 359.000, 0.000, 359.000, 353.000,0.025, 0.010, 0.011, 0.003, 0.005, 0.003,4, 4, 1,3,3,0,2,0,0,2801,2339,1,
L_00000070,20,1,3600,1,1,511.000, 511.000, 0.000, 511.000, 499.000,0.028, 0.011, 0.015, 0.003, 0.007, 0.003,8, 8, 1,3,3,0,2,0,0,5006,4325,9,
L_00000071,20,1,3600,1,1,516.000, 516.000, 0.000, 517.000, 504.000,0.026, 0.010, 0.012, 0.001, 0.006, 0.003,6, 6, 1,3,3,0,1,0,1,4155,3510,14,
L_00000072,20,1,3600,1,1,492.000, 492.000, 0.000, 495.000, 478.000,0.058, 0.010, 0.038, 0.015, 0.018, 0.006,27, 26, 11,21,12,9,1,0,0,19773,16678,58,
L_00000073,20,1,3600,1,1,555.000, 555.000, 0.000, 555.000, 547.000,0.026, 0.011, 0.013, 0.003, 0.005, 0.002,9, 9, 1,3,3,0,2,0,0,4512,3786,10,
L_00000074,20,1,3600,1,1,588.000, 588.000, 0.000, 589.000, 583.000,0.124, 0.011, 0.092, 0.022, 0.020, 0.009,98, 73, 66,83,70,13,3,0,1,24634,19997,86,
L_00000075,20,1,3600,1,1,500.000, 500.000, 0.000, 502.000, 486.000,0.214, 0.009, 0.174, 0.041, 0.057, 0.007,114, 79, 86,103,89,14,3,0,0,64755,53443,332,
L_00000076,20,1,3600,1,1,453.000, 453.000, 0.000, 453.000, 434.000,0.829, 0.012, 0.736, 0.169, 0.063, 0.019,462, 258, 422,437,437,0,15,0,0,68708,56489,497,
L_00000077,20,1,3600,1,1,530.000, 530.000, 0.000, 530.000, 519.000,0.025, 0.008, 0.011, 0.002, 0.005, 0.003,7, 7, 1,3,3,0,2,0,0,2887,2442,14,
L_00000078,20,1,3600,1,1,614.000, 614.000, 0.000, 615.000, 612.000,0.026, 0.010, 0.013, 0.003, 0.005, 0.003,8, 8, 4,9,6,3,1,0,1,3992,3367,10,
L_00000079,20,1,3600,1,1,595.000, 595.000, 0.000, 595.000, 591.000,0.023, 0.009, 0.010, 0.001, 0.004, 0.002,5, 5, 1,3,3,0,2,0,0,2300,1870,26,
L_00000080,20,1,3600,1,1,527.000, 527.000, 0.000, 528.000, 516.000,0.025, 0.009, 0.011, 0.000, 0.007, 0.003,7, 7, 2,5,3,2,1,0,0,3204,2708,5,
L_00000081,20,1,3600,1,1,543.000, 543.000, 0.000, 544.000, 534.000,0.037, 0.009, 0.023, 0.007, 0.010, 0.003,21, 21, 9,19,11,8,1,0,1,10383,8833,29,
L_00000082,20,1,3600,1,1,619.000, 619.000, 0.000, 619.000, 617.000,0.024, 0.010, 0.012, 0.003, 0.006, 0.002,9, 9, 1,3,3,0,2,0,0,4675,3960,56,
L_00000083,20,1,3600,1,1,518.000, 518.000, 0.000, 518.000, 506.000,0.025, 0.008, 0.012, 0.001, 0.006, 0.002,7, 7, 1,3,3,0,2,0,0,6038,5004,11,
L_00000084,20,1,3600,1,1,537.000, 537.000, 0.000, 537.000, 527.000,0.026, 0.009, 0.013, 0.002, 0.008, 0.002,7, 7, 1,3,3,0,2,0,0,4711,3814,25,
L_00000085,20,1,3600,1,1,480.000, 480.000, 0.000, 481.000, 464.000,0.293, 0.011, 0.251, 0.062, 0.048, 0.005,205, 125, 175,191,182,9,7,0,0,48582,39999,134,
L_00000086,20,1,3600,1,1,517.000, 517.000, 0.000, 517.000, 505.000,0.025, 0.010, 0.013, 0.003, 0.006, 0.003,7, 7, 1,3,3,0,2,0,0,3982,3434,13,
L_00000087,20,1,3600,1,1,449.000, 449.000, 0.000, 452.000, 429.000,0.460, 0.009, 0.359, 0.087, 0.170, 0.019,137, 99, 95,115,100,15,4,0,1,118144,97640,2882,
L_00000088,20,1,3600,1,1,594.000, 594.000, 0.000, 594.000, 590.000,0.032, 0.013, 0.015, 0.004, 0.007, 0.004,9, 9, 1,3,3,0,2,0,0,4788,4013,36,
L_00000089,20,1,3600,1,1,615.000, 615.000, 0.000, 615.000, 613.000,0.028, 0.011, 0.013, 0.003, 0.006, 0.003,9, 9, 1,3,3,0,2,0,0,6317,5206,23,
L_00000090,20,1,3600,1,1,512.000, 512.000, 0.000, 512.000, 500.000,0.024, 0.010, 0.011, 0.003, 0.003, 0.004,6, 6, 1,3,3,0,2,0,0,2772,2362,29,
L_00000091,20,1,3600,1,1,516.000, 516.000, 0.000, 516.000, 504.000,0.026, 0.010, 0.014, 0.004, 0.007, 0.003,8, 8, 1,3,3,0,2,0,0,6480,5453,20,
L_00000092,20,1,3600,1,1,538.000, 538.000, 0.000, 538.000, 528.000,0.024, 0.008, 0.011, 0.003, 0.005, 0.003,5, 5, 1,3,3,0,2,0,0,3248,2717,19,
L_00000093,20,1,3600,1,1,516.000, 516.000, 0.000, 517.000, 504.000,0.033, 0.009, 0.017, 0.004, 0.009, 0.003,14, 14, 5,11,7,4,1,0,1,6537,5499,16,
L_00000094,20,1,3600,1,1,615.000, 615.000, 0.000, 618.000, 613.000,0.023, 0.009, 0.011, 0.001, 0.005, 0.003,7, 7, 2,5,4,1,1,0,1,2509,2082,16,
L_00000095,20,1,3600,1,1,672.000, 672.000, 0.000, 674.000, 654.000,0.028, 0.010, 0.017, 0.004, 0.009, 0.003,10, 10, 2,5,3,2,1,0,0,9157,7636,28,
L_00000096,20,1,3600,1,1,580.000, 580.000, 0.000, 580.000, 574.000,0.023, 0.009, 0.011, 0.000, 0.005, 0.003,6, 6, 1,3,3,0,2,0,0,2790,2273,22,
L_00000097,20,1,3600,1,1,723.000, 723.000, 0.000, 723.000, 710.000,0.027, 0.010, 0.015, 0.002, 0.009, 0.003,11, 11, 1,3,3,0,2,0,0,7637,6486,31,
L_00000098,20,1,3600,1,1,633.000, 633.000, 0.000, 633.000, 633.000,0.022, 0.009, 0.009, 0.001, 0.004, 0.003,3, 3, 1,3,1,2,0,0,0,2502,2060,21,
L_00000099,20,1,3600,1,1,451.000, 451.000, 0.000, 451.000, 433.000,0.032, 0.009, 0.020, 0.006, 0.010, 0.003,11, 11, 1,3,3,0,2,0,0,14328,11980,26,
L_00000100,30,1,3600,1,1,858.000, 858.000, 0.000, 858.000, 858.000,0.025, 0.013, 0.013, 0.004, 0.005, 0.003,4, 4, 1,3,1,2,0,0,0,4724,4012,139,
L_00000101,30,1,3600,1,1,855.000, 855.000, 0.000, 855.000, 855.000,0.029, 0.017, 0.017, 0.003, 0.010, 0.003,6, 6, 1,3,1,2,0,0,0,8867,7656,230,
L_00000102,30,1,3600,1,1,936.000, 936.000, 0.000, 937.000, 922.000,0.035, 0.017, 0.022, 0.003, 0.013, 0.003,9, 9, 2,5,3,2,1,0,0,12111,10587,83,
L_00000103,30,1,3600,1,1,893.000, 893.000, 0.000, 899.000, 875.000,1.621, 0.015, 1.519, 0.388, 0.758, 0.011,227, 217, 131,243,133,110,1,0,1,674863,582030,1468,
L_00000104,30,1,3600,1,1,726.000, 726.000, 0.000, 727.000, 713.000,0.068, 0.019, 0.038, 0.007, 0.021, 0.003,10, 10, 5,11,6,5,1,0,0,18354,16418,124,
L_00000105,30,1,3600,1,1,834.000, 834.000, 0.000, 834.000, 832.000,0.033, 0.016, 0.020, 0.008, 0.006, 0.004,8, 8, 1,3,3,0,2,0,0,7507,6629,69,
L_00000106,30,1,3600,1,1,843.000, 843.000, 0.000, 843.000, 842.000,0.030, 0.015, 0.018, 0.003, 0.010, 0.004,9, 9, 1,3,3,0,2,0,0,9875,8524,139,
L_00000107,30,1,3600,1,1,933.000, 933.000, 0.000, 943.000, 919.000,1.064, 0.023, 0.987, 0.281, 0.271, 0.014,322, 253, 252,367,255,112,2,0,1,275593,239888,440,
L_00000108,30,1,3600,1,1,805.000, 805.000, 0.000, 808.000, 800.000,0.050, 0.023, 0.033, 0.009, 0.017, 0.005,11, 11, 4,9,5,4,1,0,0,14726,12908,205,
L_00000109,30,1,3600,1,1,897.000, 897.000, 0.000, 907.000, 879.000,0.046, 0.014, 0.032, 0.007, 0.020, 0.003,11, 11, 2,5,3,2,1,0,0,17794,15399,239,
L_00000110,30,1,3600,1,1,783.000, 783.000, 0.000, 784.000, 776.000,0.053, 0.027, 0.037, 0.010, 0.023, 0.005,14, 14, 5,11,6,5,1,0,0,22838,20294,100,
L_00000111,30,1,3600,1,1,807.000, 807.000, 0.000, 808.000, 802.000,0.072, 0.048, 0.060, 0.005, 0.049, 0.003,12, 12, 3,7,4,3,1,0,0,32559,29133,190,
L_00000112,30,1,3600,1,1,758.000, 758.000, 0.000, 758.000, 748.000,0.033, 0.014, 0.023, 0.005, 0.015, 0.003,9, 9, 1,3,3,0,2,0,0,10818,9554,97,
L_00000113,30,1,3600,1,1,782.000, 782.000, 0.000, 782.000, 775.000,0.027, 0.012, 0.017, 0.004, 0.009, 0.003,7, 7, 1,3,3,0,2,0,0,6561,5522,248,
L_00000114,30,1,3600,1,1,987.000, 987.000, 0.000, 999.000, 978.000,0.169, 0.026, 0.153, 0.076, 0.055, 0.004,68, 51, 49,65,50,15,1,0,0,53899,47898,313,
L_00000115,30,1,3600,1,1,813.000, 813.000, 0.000, 814.000, 809.000,0.062, 0.020, 0.049, 0.013, 0.025, 0.003,24, 24, 10,21,12,9,1,0,1,21632,19031,78,
L_00000116,30,1,3600,1,1,784.000, 784.000, 0.000, 784.000, 777.000,0.029, 0.017, 0.019, 0.005, 0.010, 0.003,6, 6, 1,3,3,0,2,0,0,9453,8361,115,
L_00000117,30,1,3600,1,1,900.000, 900.000, 0.000, 900.000, 882.000,0.046, 0.014, 0.037, 0.009, 0.021, 0.002,12, 12, 1,3,3,0,2,0,0,24024,20992,133,
L_00000118,30,1,3600,1,1,850.000, 850.000, 0.000, 850.000, 849.000,0.030, 0.014, 0.018, 0.003, 0.010, 0.002,7, 7, 1,3,3,0,2,0,0,9628,8416,156,
L_00000119,30,1,3600,1,1,932.000, 932.000, 0.000, 936.000, 918.000,0.414, 0.017, 0.387, 0.170, 0.090, 0.007,162, 107, 132,155,136,19,3,0,1,77066,68205,356,
L_00000120,30,1,3600,1,1,1079.000, 1079.000, 0.000, 1103.000, 1079.000,0.039, 0.020, 0.028, 0.005, 0.016, 0.004,11, 11, 3,7,4,3,1,0,0,13750,11889,161,
L_00000121,30,1,3600,1,1,817.000, 817.000, 0.000, 818.000, 813.000,0.065, 0.036, 0.053, 0.012, 0.036, 0.003,14, 14, 6,13,7,6,1,0,0,27010,23714,102,
L_00000122,30,1,3600,1,1,743.000, 743.000, 0.000, 743.000, 732.000,0.045, 0.018, 0.035, 0.006, 0.023, 0.002,11, 11, 1,3,3,0,2,0,0,19359,17533,46,
L_00000123,30,1,3600,1,1,810.000, 810.000, 0.000, 810.000, 805.000,0.034, 0.016, 0.024, 0.003, 0.016, 0.003,12, 12, 1,3,3,0,2,0,0,12757,11200,73,
L_00000124,30,1,3600,1,1,809.000, 809.000, 0.000, 809.000, 804.000,0.026, 0.013, 0.015, 0.004, 0.007, 0.003,6, 6, 1,3,3,0,2,0,0,5731,4888,132,
L_00000125,30,1,3600,1,1,847.000, 847.000, 0.000, 847.000, 846.000,0.028, 0.014, 0.018, 0.004, 0.010, 0.003,9, 9, 1,3,3,0,2,0,0,8633,7385,108,
L_00000126,30,1,3600,1,1,811.000, 811.000, 0.000, 811.000, 807.000,0.045, 0.027, 0.035, 0.004, 0.026, 0.002,11, 11, 1,3,3,0,2,0,0,20115,17095,238,
L_00000127,30,1,3600,1,1,915.000, 915.000, 0.000, 918.000, 899.000,0.447, 0.018, 0.408, 0.099, 0.214, 0.005,88, 85, 55,105,57,48,1,0,1,161445,143054,350,
L_00000128,30,1,3600,1,1,823.000, 823.000, 0.000, 823.000, 820.000,0.039, 0.023, 0.028, 0.003, 0.021, 0.003,10, 10, 1,3,3,0,2,0,0,16230,14107,427,
L_00000129,30,1,3600,1,1,828.000, 828.000, 0.000, 830.000, 825.000,0.091, 0.017, 0.026, 0.006, 0.013, 0.058,10, 10, 4,9,5,4,1,0,0,13146,11331,190,
L_00000130,30,1,3600,1,1,833.000, 833.000, 0.000, 833.000, 831.000,0.034, 0.020, 0.024, 0.004, 0.014, 0.002,8, 8, 1,3,3,0,2,0,0,12841,11348,120,
L_00000131,30,1,3600,1,1,1044.000, 1044.000, 0.000, 1050.000, 1041.000,0.054, 0.017, 0.039, 0.010, 0.020, 0.004,17, 17, 6,13,8,5,1,0,1,14503,12481,336,
L_00000132,30,1,3600,1,1,850.000, 850.000, 0.000, 853.000, 849.000,0.054, 0.038, 0.042, 0.006, 0.033, 0.003,7, 7, 2,5,3,2,1,0,0,21272,17890,146,
L_00000133,30,1,3600,1,1,820.000, 820.000, 0.000, 820.000, 816.000,0.043, 0.028, 0.033, 0.007, 0.022, 0.003,8, 8, 1,3,3,0,2,0,0,17154,14169,341,
L_00000134,30,1,3600,1,1,886.000, 886.000, 0.000, 893.000, 867.000,0.334, 0.022, 0.305, 0.096, 0.145, 0.005,63, 62, 36,71,37,34,1,0,0,131871,116797,426,
L_00000135,30,1,3600,1,1,961.000, 961.000, 0.000, 963.000, 950.000,0.161, 0.017, 0.145, 0.033, 0.058, 0.002,59, 51, 38,61,40,21,1,0,1,60367,53108,125,
L_00000136,30,1,3600,1,1,832.000, 832.000, 0.000, 832.000, 830.000,0.030, 0.012, 0.019, 0.002, 0.011, 0.003,8, 8, 1,3,3,0,2,0,0,9735,8424,194,
